Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8,Amount_Cleaned,Date_Parsed,Year,Sector_Standardized,State_Standardized
33.0,10/08/2015,MyPoolin,mobile social network,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,"250,000",QPrize Contest Winners,,,,,,,,,,,,,,,,,,,,,,,,250000.0,2015-10-08,2015.0,mobile social network,new delhi
34.0,10/08/2015,NearBuy(previously  groupon India),Hyper-Local Ecommerce,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,2015-10-08,2015.0,hyper-local ecommerce,new delhi
35.0,10/08/2015,Inkmonk,Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,"250,000",,,,,,,,,,,,,,,,,,,,,,,,,250000.0,2015-10-08,2015.0,online printing marketplace,chennai
36.0,10/08/2015,ToneTag,mobile payment software platform,Bangalore,Reliance Capital Venture,Private Equity,"1,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,2015-10-08,2015.0,mobile payment software platform,bangalore
37.0,10/08/2015,Grey Orange,Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management,Private Equity,"30,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,2015-10-08,2015.0,automated storage & warehousing solution,gurgaon
38.0,11/08/2015,Livspace,Home Design & Décor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,"8,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,2015-11-08,2015.0,home design & décor solutions,bangalore
39.0,11/08/2015,WOW! MOMO,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed Funding,"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,2015-11-08,2015.0,quick service restaurant chain,kolkata
40.0,11/08/2015,RainCan,Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others,Seed Funding,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,100000.0,2015-11-08,2015.0,subscription based online grocery platform,pune
41.0,11/08/2015,Allygrow Technologies,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,"20,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,2015-11-08,2015.0,engineering services company,mumbai
42.0,11/08/2015,Infogain,Business and IT consulting,New Delhi / US,ChrysCapital,Private Equity,"63,000,000",,,,,,,,,,,,,,,,,,,,,,,,,63000000.0,2015-11-08,2015.0,business and it consulting,new delhi / us
